loss,bounding_box_loss,class_label_loss,class_label_accuracy,val_loss,val_bounding_box_loss,val_class_label_loss,val_class_label_accuracy
5540.53515625,5539.9990234375,0.5363517999649048,0.9294310808181763,1236.869140625,1236.8636474609375,0.005554639268666506,0.9950980544090271
1467.1717529296875,1467.11376953125,0.05791626125574112,0.9934354424476624,998.3179321289062,998.3179321289062,1.7530776830199102e-09,1.0
912.7222290039062,912.7059326171875,0.016314540058374405,0.9978117942810059,901.0870971679688,901.0870971679688,0.0,1.0
806.7723388671875,806.7306518554688,0.04165365546941757,0.9934354424476624,866.9814453125,866.9814453125,0.0,1.0
761.8536376953125,761.759765625,0.0938274934887886,0.9912472367286682,838.80517578125,838.80517578125,5.843592276733034e-10,1.0
262.9676818847656,262.9279479980469,0.03977353125810623,0.9972647428512573,225.7752227783203,225.7752227783203,0.0,1.0
136.21475219726562,136.17715454101562,0.037613436579704285,0.9983588457107544,168.05072021484375,168.05072021484375,0.0,1.0
96.0962142944336,96.06861877441406,0.027594927698373795,0.996170699596405,142.4360809326172,142.4359588623047,0.0001230616617249325,1.0
78.77991485595703,78.7620620727539,0.017852313816547394,0.9978117942810059,144.0326690673828,144.0326690673828,5.843592276733034e-10,1.0
83.15648651123047,83.14646911621094,0.010021981783211231,0.9989058971405029,180.5626678466797,180.5626678466797,0.0,1.0
107.80155181884766,107.80152130126953,2.4847648091963492e-05,1.0,178.0663299560547,178.0663299560547,0.0,1.0
82.15194702148438,82.12005615234375,0.03188793361186981,0.9967177510261536,133.63796997070312,133.63796997070312,0.0,1.0
59.40965270996094,59.381134033203125,0.028520837426185608,0.9978117942810059,122.0905532836914,122.0905532836914,0.0,1.0
49.9950065612793,49.7469482421875,0.2480672150850296,0.9874179363250732,136.4771728515625,136.4771728515625,0.0,1.0
57.16593933105469,56.849388122558594,0.31654977798461914,0.9907002449035645,141.6168975830078,141.6168975830078,0.0,1.0
62.218990325927734,62.21107482910156,0.00791667215526104,0.9989058971405029,154.21441650390625,154.21441650390625,0.0,1.0
83.76586151123047,83.63343048095703,0.13243447244167328,0.9939824938774109,173.07167053222656,172.8588409423828,0.21283778548240662,0.9950980544090271
63.39480972290039,63.24742889404297,0.14738361537456512,0.9956236481666565,148.488525390625,148.488525390625,0.0,1.0
67.78882598876953,67.70108032226562,0.08774149417877197,0.9978117942810059,140.2872772216797,140.2872772216797,0.0,1.0
42.03213119506836,41.96543884277344,0.06669804453849792,0.9972647428512573,117.48493957519531,117.48493957519531,0.0,1.0
